,시도별,년도,현원,구인인원,채용인원,미충원인원,부족인원,채용계획인원
172,전남,2014,274281.0,18645.0,15619.0,3026.0,7307.0,8471.0
173,전남,2015,292223.0,26266.0,23789.0,2477.0,8134.0,8441.0
174,전남,2016,312012.0,22053.0,19499.0,2554.0,9049.0,8801.0
175,전남,2017,314495.0,25359.0,23311.0,2048.0,10242.0,9469.0
176,전남,2018,314669.0,16161.0,14577.0,1584.0,5302.0,8294.0
177,전남,2019,336929.0,17956.0,16054.0,1902.0,7170.0,7920.0
178,전남,2020,352562.0,16896.0,15189.0,1707.0,6156.0,5868.0
179,전남,2021,366406.0,14976.0,13476.0,1500.0,4709.0,5440.0
180,전북,2013,285092.0,19117.0,17184.0,1933.0,7131.0,
181,전북,2014,289895.0,25628.0,23603.0,2025.0,8343.0,9841.0
182,전북,2015,298902.0,27789.0,25469.0,2320.0,7635.0,10497.0
183,전북,2016,310057.0,23062.0,21963.0,1099.0,6693.0,11566.0
184,전북,2017,315779.0,24250.0,22480.0,1770.0,9049.0,8734.0
185,전북,2018,315739.0,27040.0,24934.0,2106.0,9442.0,10408.0
186,전북,2019,324258.0,23158.0,20835.0,2323.0,7984.0,12289.0
187,전북,2020,333830.0,24153.0,22251.0,1902.0,6847.0,7520.0
188,전북,2021,334719.0,17753.0,15908.0,1845.0,6264.0,7824.0
189,제주,2013,92666.0,9121.0,7137.0,1984.0,3488.0,
190,제주,2014,94848.0,8571.0,6659.0,1912.0,4127.0,3560.0
191,제주,2015,99850.0,6683.0,5226.0,1457.0,4005.0,3843.0
192,제주,2016,107126.0,6724.0,5321.0,1403.0,5028.0,4028.0
193,제주,2017,111312.0,8955.0,7378.0,1577.0,4254.0,4513.0
194,제주,2018,112221.0,8260.0,7108.0,1152.0,3809.0,3401.0
195,제주,2019,117723.0,7830.0,6121.0,1709.0,3915.0,4178.0
196,제주,2020,117052.0,5976.0,5255.0,721.0,2119.0,2652.0
197,제주,2021,120263.0,5488.0,4981.0,507.0,2152.0,1972.0
198,충남,2013,424705.0,26039.0,21933.0,4106.0,13801.0,
199,충남,2014,431133.0,27026.0,23610.0,3416.0,14315.0,15951.0
200,충남,2015,448464.0,25232.0,22083.0,3149.0,9780.0,14328.0
201,충남,2016,469208.0,33708.0,30049.0,3659.0,9963.0,10075.0
202,충남,2017,490703.0,25158.0,21941.0,3217.0,11714.0,14809.0
203,충남,2018,493676.0,29012.0,24790.0,4222.0,11890.0,13569.0
204,충남,2019,515517.0,31121.0,27448.0,3673.0,10773.0,12967.0
205,충남,2020,536463.0,27600.0,24541.0,3059.0,9290.0,11373.0
206,충남,2021,546278.0,20653.0,17933.0,2720.0,10040.0,9187.0
207,충북,2013,303790.0,21683.0,17305.0,4378.0,9232.0,
208,충북,2014,308322.0,20113.0,16555.0,3558.0,8714.0,10352.0
209,충북,2015,329348.0,19714.0,17348.0,2366.0,6703.0,8607.0
210,충북,2016,344363.0,17647.0,15012.0,2635.0,8124.0,7272.0
211,충북,2017,360241.0,24575.0,21451.0,3124.0,8355.0,9745.0
212,충북,2018,369481.0,26943.0,23360.0,3583.0,8946.0,11690.0
213,충북,2019,394888.0,26208.0,22795.0,3413.0,8773.0,11440.0
214,충북,2020,402513.0,25570.0,23101.0,2469.0,8697.0,9317.0
215,충북,2021,412415.0,31436.0,27527.0,3909.0,8814.0,9859.0
