"서울특별시","재화와 서비스 순이출",16204019,16136644,14953007,14562949,-1.34,13275240,14896163,0.29,31042382,30230043,12.03,26014222,26932211,-3.06,34241473,38508290,8.51,28744454,33532223,-3.49,30733106,34168914,-0.05,30867583,31341090,-1.70,28915957,34112722,1.41,25209412,25151163,-4.91,28967807,28317017,1.31,33428026,29918501,0.79,44742593,46665701,5.38,53762065,54100917,2.48,50613474,51602689,-0.73,50581418,57589685,1.92,55257203,63654377,1.83,60623829,67381618,1.15,59958539,65978358,-0.49,76347749,76347749,2.81,77229445,75988878,-0.10,82820244,76773200,0.22,85155233,79702089,0.77,84390263,82142605,0.64,96352966,97015683,3.44,104675842,102890826,1.31,100620299,109266489,1.40
"서울특별시","통계상 불일치",378879,74563,-294022,-1869248,-1.03,-702143,-3218006,-0.65,-2031426,-2429379,0.34,-481459,-811532,0.80,-1053922,-4089667,-1.53,-1353207,-4276298,-0.03,-1535710,-5347558,-0.37,-396155,-4078780,0.50,709353,-6069653,-0.72,-254177,-3435186,1.06,248426,-2224252,0.47,248484,-1455395,0.31,442182,-2993606,-0.48,-2397335,-2556567,0.15,504629,-527470,0.63,1678604,-137055,0.13,1074645,-1518464,-0.39,-131420,-2261476,-0.20,319788,-1342427,0.27,387375,387375,0.49,2501574,599665,0.06,-378298,1056904,0.13,-295409,264224,-0.22,766902,369469,0.02,3533503,-164723,-0.13,530287,-1311394,-0.24,217242,-2730130,-0.32
"부산광역시","지역내총생산에대한지출",27058609,43749924,29923432,46044004,5.24,32202026,47291520,2.71,32419675,44426186,-6.06,34809328,49763153,12.01,36540735,51705541,3.90,40806680,55382619,7.11,43855660,57866997,4.49,47878610,59924431,3.56,51183872,61227100,2.17,52915427,63032743,2.95,54818675,65299325,3.60,59096264,68944140,5.58,63844756,70785024,2.67,63676073,68336815,-3.46,66831000,71968834,5.31,68484173,73792908,2.53,71155823,75742868,2.64,73319051,77000292,1.66,77562517,80258570,4.23,82701497,82701497,3.04,85536348,84114530,1.71,87835601,85441974,1.58,89979896,86889875,1.69,93012134,89105372,2.55,91286486,85962709,-3.53,97805911,87629325,1.94,104296833,89883761,2.57
"부산광역시","최종소비지출",22639612,42813084,25662249,45516915,5.28,28155634,46979265,2.76,26260820,41324225,-10.52,29639063,45524226,8.23,33101042,48548975,5.66,35613470,49832468,2.39,38508062,52266114,4.26,39064495,51460590,-1.35,40056180,51108640,-0.56,41982632,52200367,1.67,44490952,54289330,3.18,47441453,56648369,3.53,49983775,57303840,0.93,51702678,57709082,0.55,55475060,60719032,4.23,59250297,62529375,2.47,61649164,63820080,1.79,63634491,65433434,2.19,65794341,66751937,1.75,68189841,68189841,1.83,70316195,69410301,1.48,74004762,71818836,2.85,76334831,73042075,1.44,78545950,74756789,1.99,76807238,72339544,-2.73,82458891,75953779,4.20,90237726,80189907,4.70
"부산광역시","총자본형성",8935260,14481709,10139084,16086884,3.66,11144715,16266220,0.38,8875460,12393539,-8.24,9834445,14163394,3.91,10930734,15702129,3.07,12346589,16974593,2.42,13147286,17706450,1.30,15311929,19774599,3.50,16969262,20991147,1.97,17658003,21732304,1.17,17476607,21173545,-0.86,19940871,23598736,3.65,21003222,23146875,-0.65,16781389,17938938,-7.40,20732969,21514491,5.25,21926865,22170107,0.95,23177844,23335944,1.68,22075071,22229651,-1.54,23305730,23334973,1.50,23177723,23177723,-0.20,25672916,25466849,2.77,27271610,26488572,1.20,28521911,27094020,0.71,29853050,27622257,0.62,28950460,26545501,-1.25,29685354,25715500,-0.99,29421461,23939401,-2.10
"부산광역시","재화와 서비스 순이출",-4969950,-13875748,-6163823,-15655951,-2.90,-7282424,-15764675,0.00,-2655825,-9586112,11.99,-4865498,-10623251,-1.09,-7591197,-12537049,-3.59,-7185825,-11473882,2.38,-7691267,-11868371,-0.51,-6706566,-11350854,1.01,-6232525,-10173037,2.11,-6843892,-10942316,-1.16,-7358163,-10576185,1.20,-8496802,-11887726,-1.56,-7414933,-9505624,3.12,-4538987,-6909268,3.52,-9734211,-10185649,-4.43,-13236555,-10781490,-0.88,-14101151,-11111287,-0.51,-12517862,-10335022,1.22,-11676292,-9720098,0.79,-8813931,-8813931,1.05,-11125296,-10616779,-2.18,-13353921,-12712023,-2.44,-14800707,-12976234,-0.30,-15450006,-12982658,-0.03,-15222887,-12600862,0.57,-14398196,-13387834,-1.11,-15377856,-13189571,0.27
"부산광역시","통계상 불일치",453687,840291,285922,498140,-0.80,184101,303987,-0.43,-60780,639874,0.72,201318,1145174,0.96,100156,574962,-1.23,32446,562420,-0.08,-108421,273429,-0.57,208752,516240,0.40,390955,-279257,-1.34,118684,480649,1.26,209279,541594,0.08,210742,534348,-0.04,272692,37538,-0.73,-269007,-45581,-0.13,357182,141731,0.26,543566,131248,-0.01,429966,-113955,-0.31,127351,-280058,-0.21,138738,-143551,0.20,147864,147864,0.37,672533,-145841,-0.36,-86850,-190211,-0.04,-76139,-319318,-0.15,63140,-347454,-0.03,751675,-433737,-0.11,59862,-596499,-0.16,15502,-881458,-0.30
"대구광역시","지역내총생산에대한지출",16708934,28303019,18698757,30238666,6.84,20559496,31886745,5.45,19669133,28738612,-9.87,21353129,31512976,9.65,23252630,33378959,5.92,24857987,34134803,2.26,27065894,35743105,4.71,28643337,36396595,1.83,31089716,38364894,5.41,32139659,39039831,1.76,33816014,40255437,3.11,36154426,42074727,4.52,37335462,42614503,1.28,37943622,41429265,-2.78,40617109,44114977,6.48,42635794,45657599,3.50,44843273,47367831,3.75,46904660,49036361,3.52,48817678,50329551,2.64,51822013,51822013,2.97,53167211,51823902,0.00,54832958,52721214,1.73,56714479,53964991,2.36,58094694,54762237,1.48,57725389,53668577,-2.00,60987154,56017462,4.38,63189445,56996357,1.75
"대구광역시","최종소비지출",15116273,27552592,17318428,29856968,7.57,18946518,31040958,3.67,17935973,27629901,-10.13,20479179,31077254,11.38,23126387,33655002,7.96,25146316,35016092,4.02,27343078,36902168,5.45,28161508,36909899,0.02,28643767,36458536,-1.20,30687962,38125888,4.21,32489060,39510536,3.47,34383679,40893289,3.36,36229519,41363925,1.09,37363635,41733570,0.87,39708377,43565284,4.32,42129099,44587778,2.29,43801056,45452156,1.92,45537002,46880504,3.07,47165221,47771311,1.84,49271413,49271413,3.03,50792978,50118330,1.63,53005412,51234354,2.13,54560169,52107812,1.65,57015620,54057134,3.60,56017521,52492044,-2.84,59025562,54056018,2.89,62816690,55360742,2.34
"대구광역시","총자본형성",4872908,8317646,5403390,9060183,2.60,6034278,9369138,0.99,4444905,6743733,-8.22,5571322,8515025,5.94,6405118,9557325,3.19,6723421,9656484,0.29,7551987,10512507,2.40,8254363,10985425,1.26,8007422,10267873,-1.88,9547480,12280292,5.05,10161951,12865911,1.42,11494155,14172977,3.05,11534907,13248541,-2.07,9373521,10168132,-7.18,11214516,11694251,3.71,11724769,11844575,0.35,11973066,12068686,0.52,13261818,13358394,2.85,13931001,13943069,1.24,15522369,15522369,3.23,15580566,15479043,-0.08,15227046,14776234,-1.33,14964633,14218171,-1.05,15958580,14771516,1.03,17802013,16315381,2.87,20362197,17544144,2.32,21599480,17445711,-0.19
