,년도,월,시도별,저소득,중소득,고소득
0,2020,3,강원,28.74699866607381,359.0598043574922,34.17341040462428
1,2020,3,경기,72.27835209434107,1130.4990428057279,139.98185159660005
2,2020,3,경남,35.83260453675868,511.32003279584586,52.84886581033069
3,2020,3,경북,26.9792817679558,358.9416122551482,35.17415871421396
4,2020,3,광주,59.123684210526314,732.1254385964912,74.35570175438596
5,2020,3,대구,67.56684652278177,858.5095923261391,74.44124700239809
6,2020,3,대전,72.19409282700423,925.6497890295359,111.52689873417721
7,2020,3,부산,65.18475609756098,819.6790650406504,73.57784552845528
8,2020,3,서울,81.90293165996667,1366.935876066281,195.5739778409648
9,2020,3,세종,39.10745614035088,633.8004385964912,137.4188596491228
10,2020,3,울산,57.410714285714285,974.6011904761905,167.7641369047619
11,2020,3,인천,65.44898511502029,908.1236806495264,85.17104194857916
12,2020,3,전남,21.193992139247612,260.7516844469399,26.980628860190905
13,2020,3,전북,28.91871034127937,330.9672440404733,33.34659578116961
14,2020,3,제주,45.718023255813954,663.3207364341085,60.81976744186046
15,2020,3,충남,35.30414653784219,473.88667471819645,57.684178743961354
16,2020,3,충북,35.02179242713157,499.3636611277581,51.09452465268319
17,2020,6,강원,23.975100044464206,362.18674966651844,38.58670520231214
18,2020,6,경기,58.53294603271671,1116.082709065892,153.40590123834275
19,2020,6,경남,29.543255432554325,511.4208008746754,59.53888205548722
20,2020,6,경북,22.469185389732647,360.3913643780595,39.754989330990334
21,2020,6,광주,46.960087719298244,734.2890350877193,83.7688596491228
22,2020,6,대구,52.93225419664269,853.0446642685852,83.6552757793765
23,2020,6,대전,57.70516877637131,926.5058016877637,124.28586497890295
24,2020,6,부산,49.31849593495935,819.2436991869919,81.91747967479675
25,2020,6,서울,61.49490196078431,1339.7693137254903,210.37480392156863
26,2020,6,세종,33.18859649122807,624.9100877192982,150.625
27,2020,6,울산,46.529017857142854,959.1383928571429,182.55654761904762
28,2020,6,인천,50.495805142083896,893.1477672530447,94.12882273342355
29,2020,6,전남,17.887173730002807,262.39166432781366,30.1740106651698
30,2020,6,전북,23.813754073057794,333.5851483450523,37.27508146115589
31,2020,6,제주,37.73062015503876,661.9718992248062,66.79166666666667
32,2020,6,충남,29.083735909822867,474.17995169082127,64.2445652173913
33,2020,6,충북,28.518932171070553,501.4173249795696,57.88232089348951
34,2020,9,강원,23.657180969319697,363.658070253446,39.24677634504224
35,2020,9,경기,57.936100282809754,1123.2001834441642,158.12856378506459
36,2020,9,경남,29.247881934954904,513.8204427439191,60.63309647444657
37,2020,9,경북,22.21132596685083,362.0271220492215,40.70015067805123
38,2020,9,광주,45.67144097222222,726.41015625,84.22092013888889
39,2020,9,대구,51.99379432624114,839.8590425531914,84.58658392434988
40,2020,9,대전,56.459915611814345,927.0427215189874,127.06856540084388
41,2020,9,부산,48.510975609756095,815.6445121951219,83.46849593495935
42,2020,9,서울,60.88645945680949,1337.340817727228,215.11540347092853
43,2020,9,세종,31.78125,614.6854166666667,150.91041666666666
44,2020,9,울산,45.61904761904762,956.921130952381,182.72395833333334
45,2020,9,인천,50.0508658008658,898.6994047619048,96.70725108225108
46,2020,9,전남,17.775719298245615,263.90835087719296,30.85543859649123
47,2020,9,전북,23.519890260631,334.0233196159122,37.803497942386834
48,2020,9,제주,37.59786821705426,667.4680232558139,67.94961240310077
49,2020,9,충남,28.879830917874397,477.78200483091786,65.579307568438
50,2020,9,충북,28.18028322440087,503.6868191721133,59.14351851851852
51,2020,12,강원,25.404888888888888,366.20955555555554,40.814
52,2020,12,경기,61.95865318841681,1120.4278330926502,161.48521699475563
53,2020,12,경남,31.230527466520908,513.7478819349549,62.05383984695272
54,2020,12,경북,23.927172275238572,362.8588648920141,41.603088900050224
55,2020,12,광주,49.39019097222222,724.1844618055555,86.76649305555556
56,2020,12,대구,57.25295508274232,844.3215130023641,86.93528368794327
57,2020,12,대전,60.76107594936709,925.715717299578,130.49472573839662
58,2020,12,부산,52.771138211382116,814.3235772357724,85.6290650406504
59,2020,12,서울,66.70781449161683,1329.866751642318,219.0380429453868
60,2020,12,세종,33.704166666666666,623.4479166666666,157.46041666666667
61,2020,12,울산,48.82440476190476,953.4337797619048,184.94345238095238
62,2020,12,인천,54.2755376344086,891.4196236559139,98.30376344086021
63,2020,12,전남,18.907254104111125,264.75782236565175,31.728356952434403
64,2020,12,전북,25.23508230452675,334.6042524005487,38.74502743484225
65,2020,12,제주,40.763565891472865,687.7432170542636,73.46124031007751
66,2020,12,충남,30.88466183574879,477.9249194847021,66.98248792270532
67,2020,12,충북,30.149822936529556,506.5954780713702,61.38953963497685
68,2021,3,강원,25.436888888888888,368.89088888888887,41.425777777777775
69,2021,3,경기,62.196032228640924,1130.8716935238674,164.84896625114015
70,2021,3,경남,31.6138289150041,516.690899152774,62.75608089641979
71,2021,3,경북,24.349200352600427,366.14066238509,42.28825085001889
72,2021,3,광주,49.45703125,726.4014756944445,88.08810763888889
73,2021,3,대구,57.23020094562648,846.2207446808511,88.26447990543736
74,2021,3,대전,62.79113924050633,928.4224683544304,131.89135021097047
75,2021,3,부산,53.63394308943089,819.6961382113822,87.73760162601626
76,2021,3,서울,67.69840180409844,1337.4860280419648,223.19237180115698
77,2021,3,세종,34.8625,636.0395833333333,162.55208333333334
78,2021,3,울산,49.494791666666664,964.4561011904761,186.83407738095238
79,2021,3,인천,55.08064516129032,896.9196236559139,100.03279569892473
80,2021,3,전남,18.991020064543285,267.5508629156728,32.656938403255225
81,2021,3,전북,25.412037037037038,336.7395404663923,39.364197530864196
